code,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A012450,KOSPI,20210726,1424,51400,51500,51300,51400,0,57190000,0,0,0.0,0
A012450,KOSPI,20210726,1423,51500,51500,51400,51500,0,3450000,0,0,0.0,0
A012450,KOSPI,20210726,1422,51400,51500,51400,51400,0,5870000,0,0,0.0,0
A012450,KOSPI,20210726,1421,51400,51500,51400,51500,0,5040000,0,0,0.0,0
A012450,KOSPI,20210726,1420,51500,51500,51400,51400,0,26210000,0,0,0.0,0
A012450,KOSPI,20210726,1419,51500,51500,51400,51400,0,48730000,0,0,0.0,0
A012450,KOSPI,20210726,1418,51500,51500,51400,51500,0,7310000,0,0,0.0,0
A012450,KOSPI,20210726,1417,51500,51600,51400,51500,0,28830000,0,0,0.0,0
A012450,KOSPI,20210726,1416,51400,51600,51400,51500,0,33350000,0,0,0.0,0
A012450,KOSPI,20210726,1415,51400,51500,51400,51500,0,8640000,0,0,0.0,0
A012450,KOSPI,20210726,1414,51500,51500,51400,51400,0,14660000,0,0,0.0,0
A012450,KOSPI,20210726,1413,51500,51600,51400,51400,0,41810000,0,0,0.0,0
A012450,KOSPI,20210726,1412,51500,51600,51500,51500,0,31680000,0,0,0.0,0
A012450,KOSPI,20210726,1411,51600,51600,51500,51600,0,4170000,0,0,0.0,0
A012450,KOSPI,20210726,1410,51600,51600,51500,51600,0,7990000,0,0,0.0,0
A012450,KOSPI,20210726,1409,51500,51600,51500,51600,0,9540000,0,0,0.0,0
A012450,KOSPI,20210726,1408,51500,51600,51500,51600,0,10300000,0,0,0.0,0
A012450,KOSPI,20210726,1407,51500,51600,51500,51500,0,4380000,0,0,0.0,0
A012450,KOSPI,20210726,1406,51600,51600,51500,51500,0,42040000,0,0,0.0,0
A012450,KOSPI,20210726,1405,51600,51600,51500,51500,0,3150000,0,0,0.0,0
A012450,KOSPI,20210726,1404,51600,51600,51500,51600,0,10510000,0,0,0.0,0
A012450,KOSPI,20210726,1403,51600,51700,51500,51500,0,21540000,0,0,0.0,0
A012450,KOSPI,20210726,1402,51700,51700,51500,51600,0,10680000,0,0,0.0,0
A012450,KOSPI,20210726,1401,51600,51700,51600,51600,0,20590000,0,0,0.0,0
A012450,KOSPI,20210726,1400,51600,51600,51500,51500,0,6390000,0,0,0.0,0
A012450,KOSPI,20210726,1359,51500,51600,51500,51500,0,10980000,0,0,0.0,0
A012450,KOSPI,20210726,1358,51500,51500,51400,51500,0,43310000,0,0,0.0,0
A012450,KOSPI,20210726,1357,51400,51500,51400,51500,0,11110000,0,0,0.0,0
A012450,KOSPI,20210726,1356,51500,51500,51400,51500,0,2260000,0,0,0.0,0
