code,section,date,time,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A012450,KOSPI,20210622,,1513.0,47400.0,47450.0,47400.0,47450.0,0.0,12850000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1512.0,47400.0,47450.0,47400.0,47400.0,0.0,4320000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1511.0,47450.0,47450.0,47400.0,47450.0,0.0,13230000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1510.0,47400.0,47450.0,47400.0,47400.0,0.0,34380000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1509.0,47350.0,47400.0,47350.0,47400.0,0.0,138950000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1508.0,47350.0,47400.0,47350.0,47350.0,0.0,34190000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1507.0,47350.0,47400.0,47350.0,47350.0,0.0,12880000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1506.0,47400.0,47400.0,47350.0,47350.0,0.0,33770000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1505.0,47400.0,47450.0,47400.0,47400.0,0.0,42760000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1504.0,47400.0,47450.0,47400.0,47400.0,0.0,27540000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1503.0,47400.0,47450.0,47400.0,47400.0,0.0,1750000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1502.0,47400.0,47450.0,47400.0,47450.0,0.0,4460000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1501.0,47400.0,47450.0,47400.0,47450.0,0.0,6740000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1500.0,47350.0,47450.0,47350.0,47400.0,0.0,43750000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1459.0,47350.0,47400.0,47350.0,47350.0,0.0,19600000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1458.0,47350.0,47400.0,47350.0,47350.0,0.0,8480000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1457.0,47350.0,47400.0,47350.0,47350.0,0.0,16000000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1456.0,47350.0,47400.0,47350.0,47400.0,0.0,4360000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1455.0,47350.0,47350.0,47350.0,47350.0,0.0,3460000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1454.0,47400.0,47400.0,47350.0,47350.0,0.0,18750000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1453.0,47400.0,47400.0,47400.0,47400.0,0.0,20140000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1452.0,47450.0,47450.0,47400.0,47450.0,0.0,26360000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1451.0,47350.0,47400.0,47350.0,47400.0,0.0,15770000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1450.0,47450.0,47450.0,47300.0,47350.0,0.0,8330000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1449.0,47300.0,47500.0,47300.0,47450.0,0.0,109810000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1448.0,47250.0,47350.0,47250.0,47300.0,0.0,40820000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1447.0,47250.0,47300.0,47250.0,47250.0,0.0,16300000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1446.0,47250.0,47300.0,47250.0,47300.0,0.0,16390000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1445.0,47300.0,47300.0,47250.0,47250.0,0.0,8470000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1444.0,47250.0,47300.0,47250.0,47300.0,0.0,23480000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1443.0,47250.0,47300.0,47250.0,47300.0,0.0,28370000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1442.0,47300.0,47300.0,47250.0,47250.0,0.0,25910000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1441.0,47250.0,47300.0,47250.0,47250.0,0.0,21130000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1440.0,47250.0,47300.0,47250.0,47300.0,0.0,6990000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1439.0,47300.0,47350.0,47250.0,47250.0,0.0,9690000.0,0.0,0.0,0.0,0.0
A012450,KOSPI,20210622,,1438.0,47250.0,47300.0,47250.0,47250.0,0.0,5020000.0,0.0,0.0,0.0,0.0
