code,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_rate,agency_buy,agency_netbuy
A012450,KOSPI,20210622,1450,47450,47450,47300,47350,0,8330000,0,0,0.0,0
A012450,KOSPI,20210622,1449,47300,47500,47300,47450,0,109810000,0,0,0.0,0
A012450,KOSPI,20210622,1448,47250,47350,47250,47300,0,40820000,0,0,0.0,0
A012450,KOSPI,20210622,1447,47250,47300,47250,47250,0,16300000,0,0,0.0,0
A012450,KOSPI,20210622,1446,47250,47300,47250,47300,0,16390000,0,0,0.0,0
A012450,KOSPI,20210622,1445,47300,47300,47250,47250,0,8470000,0,0,0.0,0
A012450,KOSPI,20210622,1444,47250,47300,47250,47300,0,23480000,0,0,0.0,0
A012450,KOSPI,20210622,1443,47250,47300,47250,47300,0,28370000,0,0,0.0,0
A012450,KOSPI,20210622,1442,47300,47300,47250,47250,0,25910000,0,0,0.0,0
A012450,KOSPI,20210622,1441,47250,47300,47250,47250,0,21130000,0,0,0.0,0
A012450,KOSPI,20210622,1440,47250,47300,47250,47300,0,6990000,0,0,0.0,0
A012450,KOSPI,20210622,1439,47300,47350,47250,47250,0,9690000,0,0,0.0,0
A012450,KOSPI,20210622,1438,47250,47300,47250,47250,0,5020000,0,0,0.0,0
A012450,KOSPI,20210622,1437,47250,47300,47250,47250,0,18050000,0,0,0.0,0
A012450,KOSPI,20210622,1436,47300,47300,47250,47250,0,7320000,0,0,0.0,0
A012450,KOSPI,20210622,1435,47300,47300,47250,47300,0,9130000,0,0,0.0,0
A012450,KOSPI,20210622,1434,47250,47350,47250,47350,0,36800000,0,0,0.0,0
A012450,KOSPI,20210622,1433,47250,47300,47250,47250,0,15400000,0,0,0.0,0
A012450,KOSPI,20210622,1432,47300,47300,47300,47300,0,16230000,0,0,0.0,0
A012450,KOSPI,20210622,1431,47300,47350,47250,47300,0,44880000,0,0,0.0,0
A012450,KOSPI,20210622,1430,47300,47300,47250,47250,0,8130000,0,0,0.0,0
A012450,KOSPI,20210622,1429,47300,47300,47300,47300,0,52030000,0,0,0.0,0
A012450,KOSPI,20210622,1428,47300,47350,47300,47300,0,11920000,0,0,0.0,0
A012450,KOSPI,20210622,1427,47300,47350,47300,47350,0,430000,0,0,0.0,0
A012450,KOSPI,20210622,1426,47250,47350,47250,47350,0,21410000,0,0,0.0,0
A012450,KOSPI,20210622,1425,47250,47300,47250,47300,0,14520000,0,0,0.0,0
A012450,KOSPI,20210622,1424,47300,47300,47250,47250,0,19140000,0,0,0.0,0
