date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,29400,29400,29400,29400,4768,33167,24749
20230630,1520,29500,29500,29350,29400,440,33167,21251
20230630,1519,29550,29600,29500,29600,6,32876,21102
20230630,1518,29650,29650,29650,29650,1,32873,21099
20230630,1517,29600,29700,29550,29650,352,32873,21098
20230630,1516,29450,29450,29350,29350,1397,32861,20758
20230630,1515,29450,29450,29450,29450,25,32467,19755
20230630,1514,29500,29500,29400,29400,793,32467,19730
20230630,1513,29550,29550,29450,29450,666,31938,19466
20230630,1512,29600,29600,29550,29550,522,31273,19465
20230630,1511,29700,29700,29600,29650,37,30852,19364
20230630,1510,29550,29700,29550,29550,132,30832,19347
20230630,1509,29650,29800,29550,29800,302,30731,19316
20230630,1508,29700,29700,29550,29550,34,30530,19215
20230630,1507,29600,29700,29550,29700,75,30528,19183
20230630,1506,29650,29650,29550,29550,586,30483,19153
20230630,1505,29700,29700,29650,29650,151,29897,19153
20230630,1504,29650,29700,29650,29700,103,29796,19103
20230630,1503,29700,29700,29700,29700,35,29752,19044
20230630,1502,29650,29650,29650,29650,1,29752,19009
20230630,1501,29650,29700,29650,29650,133,29752,19008
20230630,1500,29700,29700,29700,29700,453,29629,18998
20230630,1459,29750,29750,29700,29700,9,29176,18998
20230630,1458,29750,29750,29700,29700,109,29175,18990
20230630,1457,29850,29850,29750,29750,478,29097,18959
20230630,1456,29850,29850,29850,29850,35,28624,18954
20230630,1455,29850,29850,29850,29850,1,28595,18948
20230630,1454,29850,29850,29850,29850,1,28594,18948
20230630,1453,29850,29900,29850,29900,522,28593,18948
20230630,1452,29900,29900,29850,29850,11,28395,18624
20230630,1450,29900,29900,29900,29900,1,28394,18614
20230630,1449,29900,29900,29900,29900,10,28394,18613
20230630,1448,29900,29900,29900,29900,40,28384,18613
20230630,1447,29900,29900,29900,29900,17,28384,18573
20230630,1445,29950,29950,29950,29950,60,28367,18573
20230630,1443,29950,30000,29950,29950,25,28339,18541
20230630,1442,29950,30000,29950,30000,96,28315,18540
20230630,1441,29900,29900,29900,29900,1,28315,18444
20230630,1440,29850,29900,29850,29900,364,28314,18444
20230630,1439,29800,29800,29800,29800,1,28314,18080
20230630,1438,29850,29850,29850,29850,169,28313,18080
20230630,1437,29800,29850,29800,29800,23,28313,17911
20230630,1436,29800,29800,29750,29800,232,28312,17889
20230630,1435,29800,29800,29800,29800,90,28311,17658
20230630,1434,29800,29800,29750,29800,159,28311,17568
20230630,1433,29800,29850,29800,29850,96,28188,17532
20230630,1432,29800,29850,29800,29850,6,28132,17492
20230630,1431,29800,29850,29800,29800,235,28131,17487
20230630,1430,29800,29800,29800,29800,1,27919,17464
20230630,1429,29800,29850,29800,29850,2,27918,17464
20230630,1427,29850,29850,29800,29800,126,27917,17463
20230630,1426,29800,29800,29750,29750,565,27817,17437
20230630,1425,29800,29800,29750,29750,24,27808,16881
20230630,1424,29750,29800,29750,29800,2,27806,16859
20230630,1423,29750,29750,29750,29750,138,27805,16858
20230630,1422,29700,29750,29700,29700,58,27804,16721
20230630,1420,29750,29750,29750,29750,15,27747,16720
20230630,1419,29800,29800,29800,29800,1,27732,16720
20230630,1418,29800,29800,29750,29750,2,27732,16719
20230630,1416,29700,29800,29700,29750,52,27731,16718
20230630,1415,29650,29700,29650,29700,5,27727,16670
20230630,1414,29750,29750,29750,29750,60,27724,16668
20230630,1413,29750,29750,29750,29750,4,27724,16608
20230630,1412,29750,29750,29750,29750,1,27720,16608
20230630,1411,29700,29750,29700,29750,993,27719,16608
20230630,1410,29650,29700,29650,29700,14,27718,15616
20230630,1409,29650,29700,29650,29650,27,27712,15608
20230630,1407,29650,29650,29650,29650,500,27702,15591
20230630,1406,29650,29750,29650,29750,81,27202,15591
20230630,1405,29750,29750,29700,29700,4,27182,15530
20230630,1403,29750,29750,29750,29750,2,27179,15529
20230630,1402,29800,29800,29750,29750,53,27179,15527
20230630,1401,29750,29800,29750,29800,142,27178,15475
20230630,1400,29750,29750,29750,29750,1,27126,15385
20230630,1359,29750,29750,29750,29750,101,27125,15385
20230630,1358,29750,29750,29750,29750,91,27024,15385
20230630,1357,29700,29750,29700,29750,432,27024,15294
