date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,52900,52900,52900,52900,1136,16039,12341
20230630,1520,52800,52900,52800,52900,111,16039,11210
20230630,1519,52800,53000,52800,52900,120,16003,11135
20230630,1518,52800,53000,52700,52800,126,16002,11016
20230630,1517,52800,52900,52700,52900,153,15955,10937
20230630,1516,52700,52800,52700,52700,12,15935,10804
20230630,1515,52700,52800,52700,52700,57,15929,10798
20230630,1514,52700,52800,52700,52700,15,15888,10782
20230630,1513,52700,52700,52700,52700,54,15885,10770
20230630,1512,52700,52700,52700,52700,1,15831,10770
20230630,1511,52700,52800,52700,52700,17,15830,10770
20230630,1510,52800,52800,52700,52800,60,15820,10763
20230630,1509,52700,52700,52700,52700,61,15799,10724
20230630,1508,52800,52800,52700,52700,116,15738,10724
20230630,1507,52700,52700,52700,52700,2,15702,10644
20230630,1506,52700,52700,52700,52700,4,15700,10644
20230630,1505,52700,52800,52700,52800,32,15696,10644
20230630,1504,52700,52700,52700,52700,2,15694,10614
20230630,1503,52700,52700,52700,52700,2,15692,10614
20230630,1502,52700,52700,52700,52700,2,15690,10614
20230630,1501,52700,52800,52700,52700,21,15688,10614
20230630,1500,52700,52700,52700,52700,14,15686,10595
20230630,1459,52800,52800,52700,52700,5,15672,10595
20230630,1457,52700,52800,52700,52800,486,15668,10594
20230630,1456,52900,52900,52700,52700,501,15271,10505
20230630,1455,52900,53000,52900,52900,18,14770,10505
20230630,1454,53000,53000,53000,53000,9,14769,10488
20230630,1453,52900,53000,52800,53000,40,14769,10479
20230630,1452,52800,52900,52800,52900,29,14744,10464
20230630,1451,52800,52900,52800,52900,22,14733,10446
20230630,1450,52800,52900,52800,52900,35,14732,10425
20230630,1449,52800,52800,52800,52800,4,14712,10410
20230630,1448,52800,52800,52800,52800,12,14708,10410
20230630,1447,52900,52900,52800,52800,19,14696,10410
20230630,1446,52800,52900,52800,52800,7,14695,10392
20230630,1445,52800,52900,52800,52900,133,14689,10391
20230630,1444,53000,53000,52900,52900,13,14573,10374
20230630,1443,52800,52900,52800,52900,32,14571,10363
20230630,1442,52800,52900,52800,52800,13,14557,10345
20230630,1441,52800,52800,52800,52800,1,14545,10344
20230630,1440,52900,52900,52900,52900,25,14544,10344
20230630,1439,52800,52900,52800,52900,16,14544,10319
20230630,1438,52900,52900,52900,52900,80,14532,10315
20230630,1437,52900,52900,52800,52900,14,14532,10235
20230630,1436,52800,52800,52800,52800,20,14531,10222
20230630,1435,52800,52800,52800,52800,1,14511,10222
20230630,1434,52800,52800,52800,52800,11,14510,10222
20230630,1433,52800,52900,52800,52900,13,14499,10222
20230630,1432,52900,52900,52800,52800,3,14497,10211
20230630,1431,52800,52800,52800,52800,4,14496,10209
20230630,1430,52900,52900,52900,52900,21,14492,10209
20230630,1429,52800,52800,52800,52800,3,14492,10188
20230630,1428,52800,52800,52800,52800,48,14489,10188
20230630,1427,52900,52900,52800,52800,43,14441,10188
