date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,7040,7040,7040,7040,8367,524409,184276
20230630,1520,7080,7080,7040,7040,732,524409,180187
20230630,1519,7070,7090,7070,7080,684,523793,180071
20230630,1518,7100,7100,7070,7080,1535,523199,179981
20230630,1517,7110,7110,7090,7100,637,521684,179961
20230630,1516,7090,7110,7090,7110,2095,521152,179856
20230630,1515,7100,7100,7080,7090,825,521096,177817
20230630,1514,7090,7100,7080,7100,757,520382,177706
20230630,1513,7110,7110,7090,7110,2151,519720,177611
20230630,1512,7100,7110,7090,7110,1156,517669,177511
20230630,1511,7090,7100,7080,7100,1270,517665,176359
20230630,1510,7080,7100,7080,7100,2183,516723,176031
20230630,1509,7070,7080,7070,7080,355,515993,174578
20230630,1508,7060,7080,7060,7070,1990,515758,174458
20230630,1507,7070,7070,7060,7070,718,515457,172769
20230630,1506,7060,7070,7050,7070,669,515435,172073
20230630,1505,7070,7080,7060,7070,2856,514767,172072
20230630,1504,7070,7080,7070,7070,943,512364,171619
20230630,1503,7070,7070,7070,7070,5,512037,171003
20230630,1502,7070,7070,7060,7070,461,512037,170998
20230630,1501,7050,7070,7050,7070,1045,511857,170717
20230630,1500,7060,7070,7050,7050,2160,511641,169888
20230630,1459,7070,7070,7030,7060,2238,511280,168089
20230630,1458,7050,7070,7050,7070,3345,510740,166391
20230630,1457,7040,7050,7030,7040,3969,509127,164659
20230630,1456,7030,7040,7020,7030,1908,508626,161191
20230630,1455,7020,7030,7010,7030,1223,508399,159510
20230630,1454,7000,7020,6990,7020,1187,508188,158498
20230630,1453,7010,7010,6990,7000,2293,508010,157489
20230630,1452,7010,7010,6990,7000,398,505872,157334
20230630,1451,7000,7020,6990,7010,812,505688,157120
20230630,1450,7010,7020,7000,7010,1119,505149,156847
20230630,1449,7020,7020,7010,7010,232,504130,156747
20230630,1448,7000,7030,7000,7020,423,504118,156527
20230630,1447,6990,7020,6990,6990,1183,504014,156208
20230630,1446,7020,7030,7000,7000,2435,503121,155918
20230630,1445,7050,7050,7030,7030,847,500771,155833
20230630,1444,7040,7050,7030,7050,724,500259,155498
20230630,1443,7040,7050,7030,7040,1409,500066,154967
20230630,1442,7030,7040,7020,7040,3629,499540,154084
20230630,1441,7020,7030,7020,7020,618,499464,150531
20230630,1440,7020,7020,7000,7010,2118,499394,149983
20230630,1439,7020,7020,7010,7010,955,498925,148334
20230630,1438,7020,7030,7000,7020,506,498724,147580
20230630,1437,7010,7040,7010,7030,2162,498565,147233
20230630,1436,7000,7010,7000,7010,1203,498264,145372
20230630,1435,6980,7010,6980,7010,5064,497859,144574
20230630,1434,6970,6990,6960,6990,1768,497627,139742
20230630,1433,6970,6970,6950,6970,555,497459,138142
20230630,1432,6970,6980,6950,6950,890,497176,137870
20230630,1431,6980,6980,6960,6960,630,496424,137732
20230630,1430,6950,6980,6950,6980,376,496084,137442
20230630,1429,6970,6970,6950,6950,596,496033,137117
20230630,1428,6970,6970,6960,6970,143,495534,137020
20230630,1427,6960,6970,6950,6970,2365,495413,136998
20230630,1426,6950,6960,6940,6950,1306,494984,135062
20230630,1425,6960,6960,6950,6950,116,494180,134560
20230630,1424,6960,6970,6950,6960,629,494067,134557
20230630,1423,6950,6960,6950,6960,327,493786,134209
20230630,1422,6970,6980,6960,6960,1276,493564,134104
20230630,1421,6970,6980,6960,6960,493,492404,133988
20230630,1420,6970,6970,6960,6970,899,492270,133629
20230630,1419,6970,6970,6960,6970,352,492006,132994
20230630,1418,6970,6980,6970,6980,526,491666,132982
20230630,1417,6970,6980,6970,6980,1060,491594,132528
20230630,1416,6960,6970,6960,6960,376,491312,131750
20230630,1415,6950,6970,6940,6970,2244,491148,131538
20230630,1414,6950,6950,6940,6950,262,490818,129624
20230630,1413,6950,6950,6940,6940,1101,490675,129505
20230630,1412,6940,6950,6940,6950,752,490614,128465
20230630,1411,6950,6950,6940,6940,1036,490284,128043
20230630,1410,6950,6950,6940,6940,91,489449,127842
20230630,1409,6940,6950,6930,6940,490,489381,127819
20230630,1408,6950,6950,6920,6940,1306,489247,127463
20230630,1407,6960,6970,6920,6950,1552,488881,126523
20230630,1406,6950,6960,6950,6960,817,487590,126262
20230630,1405,6930,6950,6920,6950,2553,487558,125477
20230630,1404,6910,6930,6910,6920,1996,487029,123453
20230630,1403,6900,6920,6900,6910,645,486928,121558
20230630,1402,6900,6910,6890,6910,344,486712,121129
20230630,1401,6910,6910,6890,6890,2275,486581,120916
20230630,1400,6890,6910,6890,6910,520,484318,120904
20230630,1359,6890,6900,6890,6900,234,484089,120613
20230630,1358,6890,6900,6890,6900,1247,484039,120429
20230630,1357,6900,6900,6890,6890,187,482881,120340
20230630,1356,6890,6900,6890,6890,2851,482696,120338
20230630,1355,6890,6900,6890,6890,2259,479866,120317
20230630,1354,6900,6900,6890,6890,574,477694,120230
20230630,1353,6910,6910,6890,6900,2758,477333,120017
20230630,1352,6890,6910,6890,6910,817,474752,119840
20230630,1351,6900,6900,6890,6890,24579,474277,119498
20230630,1350,6900,6910,6900,6900,2700,449701,119495
20230630,1349,6910,6910,6900,6900,416,447041,119455
20230630,1348,6900,6910,6900,6910,713,446627,119453
20230630,1347,6900,6910,6900,6900,1355,446019,119348
20230630,1346,6910,6910,6900,6900,1100,445306,118706
20230630,1345,6900,6910,6900,6910,4766,444211,118701
20230630,1344,6910,6910,6900,6900,376,439658,118488
20230630,1343,6900,6910,6900,6900,871,439301,118469
20230630,1342,6900,6900,6900,6900,1323,438431,118468
20230630,1341,6910,6910,6900,6900,4082,437108,118468
20230630,1340,6900,6910,6900,6910,348,433037,118457
20230630,1339,6900,6920,6900,6900,486,432821,118325
20230630,1338,6900,6910,6900,6900,293,432530,118130
20230630,1337,6900,6920,6900,6900,3658,432241,118126
20230630,1336,6910,6920,6900,6900,7581,429063,117646
20230630,1335,6910,6910,6910,6910,363,421501,117627
20230630,1334,6910,6920,6910,6910,1187,421138,117627
20230630,1333,6910,6920,6910,6910,508,420060,117518
20230630,1332,6920,6920,6910,6910,297,419590,117480
20230630,1331,6910,6920,6910,6920,378,419372,117401
20230630,1330,6920,6920,6910,6910,299,418995,117400
20230630,1329,6920,6930,6920,6920,1459,418701,117395
20230630,1328,6920,6920,6920,6920,155,417262,117375
20230630,1327,6920,6930,6920,6920,810,417107,117375
20230630,1326,6930,6930,6920,6920,301,416298,117374
20230630,1325,6920,6920,6910,6920,248,416009,117362
20230630,1324,6920,6920,6910,6910,308,415767,117356
20230630,1323,6920,6930,6920,6930,497,415460,117355
20230630,1322,6910,6920,6910,6920,201,415212,117106
20230630,1321,6920,6930,6910,6930,596,415011,117106
20230630,1320,6910,6920,6910,6920,374,414888,116633
20230630,1319,6920,6920,6910,6910,513,414645,116502
20230630,1318,6920,6920,6910,6920,220,414317,116317
20230630,1317,6920,6920,6910,6920,396,414163,116251
20230630,1316,6910,6920,6910,6920,506,413917,116101
20230630,1315,6920,6920,6910,6910,89,413529,115983
20230630,1314,6910,6920,6910,6920,53,413445,115978
20230630,1313,6910,6920,6910,6920,842,413395,115975
20230630,1312,6910,6920,6910,6910,217,412623,115905
20230630,1311,6910,6920,6910,6910,240,412436,115875
20230630,1310,6920,6920,6910,6910,1599,412197,115874
20230630,1309,6930,6930,6920,6920,319,410602,115870
20230630,1308,6910,6930,6910,6930,308,410375,115778
20230630,1307,6920,6920,6920,6920,1,410141,115704
20230630,1306,6910,6930,6910,6920,533,410141,115703
20230630,1305,6910,6920,6910,6910,263,409721,115590
20230630,1304,6920,6920,6920,6920,5,409460,115588
20230630,1303,6920,6920,6910,6910,177,409460,115583
20230630,1302,6920,6920,6910,6910,360,409285,115581
20230630,1301,6920,6930,6910,6930,128,408935,115571
20230630,1300,6920,6920,6920,6920,256,408821,115557
20230630,1259,6920,6920,6910,6910,565,408821,115301
20230630,1258,6910,6920,6910,6910,183,408262,115295
20230630,1257,6910,6920,6900,6910,114,408098,115276
20230630,1256,6910,6920,6910,6920,385,407985,115275
20230630,1255,6910,6920,6910,6910,960,407602,115273
20230630,1254,6920,6920,6910,6910,167,406742,115173
20230630,1253,6910,6920,6910,6910,178,406626,115122
20230630,1252,6910,6920,6910,6910,332,406451,115119
20230630,1251,6910,6920,6910,6910,266,406120,115118
20230630,1250,6910,6920,6910,6920,391,405885,115087
20230630,1249,6920,6920,6910,6910,912,405695,114886
20230630,1248,6920,6920,6910,6910,250,404786,114883
20230630,1247,6910,6920,6910,6910,3262,404537,114882
20230630,1246,6910,6920,6910,6910,507,401476,114681
20230630,1245,6910,6920,6910,6910,2433,400970,114680
20230630,1244,6920,6920,6910,6910,332,398578,114639
20230630,1243,6930,6930,6920,6930,61,398277,114608
20230630,1242,6920,6930,6920,6930,221,398227,114597
20230630,1241,6920,6930,6920,6920,1117,398010,114593
20230630,1240,6930,6930,6920,6930,72,396904,114582
20230630,1239,6930,6930,6920,6920,244,396840,114574
20230630,1238,6920,6930,6920,6920,522,396600,114570
20230630,1237,6920,6930,6920,6930,331,396079,114569
20230630,1236,6930,6940,6920,6940,207,395800,114517
20230630,1235,6930,6930,6930,6930,114,395604,114506
20230630,1234,6950,6950,6930,6940,181,395490,114506
20230630,1233,6920,6950,6920,6930,1293,395311,114504
20230630,1232,6920,6930,6920,6930,65,395046,113476
20230630,1231,6920,6930,6920,6930,521,394982,113475
20230630,1230,6930,6930,6920,6930,831,394464,113472
20230630,1229,6930,6950,6930,6930,419,393855,113250
20230630,1228,6940,6950,6930,6930,385,393455,113231
20230630,1227,6960,6960,6940,6950,601,393071,113230
20230630,1226,6930,6960,6930,6940,734,392482,113218
20230630,1225,6940,6940,6930,6940,67,392368,112598
20230630,1224,6940,6940,6930,6930,1075,392303,112596
20230630,1223,6950,6950,6930,6940,1165,391291,112533
20230630,1222,6930,6950,6920,6950,596,390240,112419
20230630,1221,6920,6930,6920,6930,458,389933,112130
20230630,1220,6920,6940,6910,6920,747,389703,111902
20230630,1219,6940,6940,6920,6940,53,389057,111801
20230630,1218,6920,6940,6920,6920,184,389006,111799
20230630,1217,6930,6950,6930,6940,725,388823,111798
20230630,1216,6930,6940,6930,6930,241,388594,111302
20230630,1215,6940,6940,6930,6930,52,388357,111298
20230630,1214,6930,6940,6930,6940,469,388307,111296
20230630,1213,6940,6940,6930,6930,218,387884,111250
20230630,1212,6940,6950,6930,6950,54,387708,111208
20230630,1211,6950,6950,6910,6910,1785,387656,111206
20230630,1210,6910,6940,6900,6940,1453,386224,110853
20230630,1209,6920,6920,6910,6920,66,385470,110154
20230630,1208,6910,6920,6910,6910,61,385406,110152
20230630,1207,6910,6920,6900,6910,516,385354,110143
20230630,1206,6910,6910,6910,6910,114,384912,110069
20230630,1205,6910,6910,6900,6910,4419,384798,110069
20230630,1204,6910,6920,6910,6910,289,381118,109330
20230630,1203,6920,6920,6910,6920,341,380879,109280
20230630,1202,6910,6930,6910,6920,866,380566,109252
20230630,1201,6920,6920,6910,6920,280,380480,108472
20230630,1200,6890,6920,6890,6920,382,380265,108407
20230630,1159,6950,6950,6900,6900,50204,380086,108204
20230630,1158,6950,6970,6940,6970,6872,342951,95135
20230630,1157,6950,6960,6950,6960,89,336292,94922
20230630,1156,6970,6970,6950,6960,391,336205,94920
20230630,1155,6960,6970,6950,6950,1255,336025,94709
20230630,1154,6950,6960,6950,6960,170,334949,94530
20230630,1153,6950,6960,6950,6960,233,334835,94474
20230630,1152,6950,6960,6950,6960,373,334603,94473
20230630,1151,6950,6950,6950,6950,50,334303,94400
20230630,1150,6960,6960,6950,6960,67,334253,94400
20230630,1149,6960,6960,6950,6950,604,334188,94398
20230630,1148,6950,6960,6950,6960,237,333586,94396
20230630,1147,6950,6950,6950,6950,267,333372,94373
20230630,1146,6950,6960,6950,6960,461,333105,94373
20230630,1145,6960,6960,6950,6950,704,332667,94350
20230630,1144,6960,6960,6950,6960,117,332552,93761
20230630,1143,6960,6960,6960,6960,412,332448,93748
20230630,1142,6980,6980,6960,6970,319,332037,93747
20230630,1141,6960,6960,6960,6960,948,331762,93703
20230630,1140,6960,6960,6960,6960,114,330814,93703
20230630,1139,6960,6960,6950,6960,290,330700,93703
20230630,1138,6960,6960,6960,6960,142,330436,93677
20230630,1137,6960,6960,6960,6960,52,330294,93677
20230630,1136,6960,6960,6960,6960,203,330242,93677
20230630,1135,6950,6960,6950,6960,518,330128,93588
20230630,1134,6950,6960,6950,6960,13,329611,93587
20230630,1133,6950,6950,6950,6950,166,329610,93575
20230630,1132,6960,6960,6950,6950,294,329444,93575
20230630,1131,6950,6950,6950,6950,115,329175,93550
20230630,1130,6980,6980,6980,6980,10,329060,93550
20230630,1129,6970,6980,6950,6980,421,329060,93540
20230630,1128,6940,6990,6940,6970,415,328805,93374
20230630,1127,6940,6950,6940,6950,483,328536,93228
20230630,1126,6940,6950,6940,6950,417,328054,93227
20230630,1125,6950,6950,6940,6940,2023,327638,93226
20230630,1124,6960,6960,6950,6950,6001,325615,93226
20230630,1123,6970,6970,6960,6960,150,319614,93226
20230630,1122,6960,6970,6960,6960,252,319479,93211
20230630,1121,6970,6990,6970,6970,1455,319227,93211
20230630,1120,6990,6990,6970,6990,54,317778,93205
20230630,1119,6970,6990,6970,6980,1193,317727,93202
20230630,1118,6970,6980,6970,6980,1960,316938,92798
20230630,1117,6970,6980,6970,6970,2279,315075,92701
20230630,1116,6970,6980,6970,6970,1482,314134,91363
20230630,1115,6970,6980,6970,6980,592,312743,91272
20230630,1114,6970,6970,6960,6970,2432,312588,90835
20230630,1113,6970,6970,6960,6970,352,312087,88904
