date,time,open,high,low,close,volume,Accumulated sales volume,Accumulated number of contract
20230630,1530,5950,5950,5950,5950,1740,294236,200363
20230630,1520,5930,5950,5930,5950,16,294236,198639
20230630,1519,5920,5920,5920,5920,192,294221,198638
20230630,1518,5910,5970,5910,5970,4356,294029,198638
20230630,1517,5910,5920,5910,5920,5,293933,194378
20230630,1516,5910,5930,5910,5910,1418,293931,194375
20230630,1514,5910,5910,5910,5910,80,293563,193325
20230630,1512,5910,5910,5910,5910,747,293483,193325
20230630,1511,5900,5900,5900,5900,6,293116,192945
20230630,1510,5890,5900,5890,5900,609,293110,192945
20230630,1509,5900,5900,5900,5900,93,292918,192528
20230630,1508,5890,5890,5890,5890,1,292918,192435
20230630,1507,5890,5890,5890,5890,192,292917,192435
20230630,1504,5900,5900,5890,5890,612,292725,192435
20230630,1503,5890,5890,5890,5890,192,292467,192081
20230630,1501,5890,5890,5890,5890,500,292275,192081
20230630,1459,5900,5900,5890,5890,247,291775,192081
20230630,1458,5900,5900,5900,5900,32,291759,191850
20230630,1457,5900,5900,5900,5900,33,291759,191818
20230630,1456,5890,5900,5890,5900,640,291759,191785
20230630,1455,5900,5900,5890,5890,406,291567,191337
20230630,1454,5900,5900,5900,5900,32,291177,191321
20230630,1452,5900,5900,5890,5890,682,291177,191289
20230630,1451,5900,5900,5900,5900,4652,290792,190992
20230630,1450,5900,5900,5900,5900,237,287117,190015
20230630,1449,5910,5910,5900,5910,1956,286880,190015
20230630,1448,5920,5920,5910,5910,7473,286011,188928
20230630,1447,5930,5930,5930,5930,707,278538,188928
20230630,1444,5960,5960,5960,5960,2010,278023,188736
20230630,1443,5940,5950,5940,5950,1700,278023,186726
20230630,1442,5930,5930,5930,5930,885,278001,185048
20230630,1440,5920,5920,5920,5920,54,278001,184163
20230630,1439,5910,5910,5910,5910,192,278001,184109
20230630,1437,5910,5910,5910,5910,50,277809,184109
20230630,1435,5910,5910,5910,5910,472,277759,184109
20230630,1433,5900,5900,5900,5900,50,277287,184109
20230630,1432,5910,5910,5900,5900,271,277237,184109
20230630,1430,5910,5910,5910,5910,180,277066,184009
20230630,1428,5910,5910,5900,5900,583,277066,183829
20230630,1427,5910,5910,5910,5910,8,276895,183417
20230630,1425,5900,5900,5900,5900,202,276895,183409
20230630,1424,5900,5900,5900,5900,42,276693,183409
20230630,1423,5890,5890,5890,5890,642,276651,183409
20230630,1422,5900,5900,5900,5900,215,276009,183409
20230630,1421,5900,5900,5900,5900,192,275794,183409
20230630,1420,5900,5900,5900,5900,100,275602,183409
20230630,1419,5900,5910,5900,5910,1120,275502,183409
20230630,1418,5900,5900,5900,5900,192,274402,183389
20230630,1416,5910,5910,5910,5910,2,274210,183389
20230630,1415,5900,5910,5900,5910,619,274210,183387
20230630,1414,5910,5910,5910,5910,2246,273691,183287
20230630,1413,5920,5920,5920,5920,146,271445,183287
20230630,1412,5920,5920,5920,5920,54,271299,183287
20230630,1411,5920,5920,5920,5920,192,271245,183287
20230630,1410,5930,5930,5910,5910,1243,271245,183095
20230630,1409,5910,5910,5910,5910,1214,270784,182313
20230630,1408,5900,5900,5900,5900,212,270784,181099
20230630,1407,5900,5900,5900,5900,75,270572,181099
20230630,1406,5900,5900,5900,5900,966,270497,181099
20230630,1405,5890,5900,5890,5900,26,270497,180133
20230630,1404,5900,5900,5890,5890,3640,270496,180108
20230630,1403,5920,5920,5900,5900,4706,266926,180038
20230630,1402,5920,5920,5920,5920,416,262220,180038
20230630,1401,5930,5930,5920,5920,2708,261804,180038
20230630,1400,5940,5940,5930,5930,2040,259096,180038
20230630,1359,5940,5940,5940,5940,192,257056,180038
20230630,1357,5950,5950,5950,5950,2000,256864,180038
20230630,1356,5950,5950,5950,5950,2688,256864,178038
20230630,1355,5950,5950,5950,5950,192,254176,178038
20230630,1353,5970,5970,5970,5970,1,253984,178038
20230630,1352,5940,5950,5940,5950,2057,253984,178037
20230630,1350,5950,5950,5950,5950,3221,253792,176172
20230630,1348,5960,5960,5950,5950,192,250571,176172
20230630,1347,5960,5960,5950,5950,520,250380,176171
20230630,1346,5960,5960,5960,5960,20,249960,176071
20230630,1345,5960,5960,5960,5960,500,249940,176071
20230630,1344,5960,5960,5960,5960,192,249440,176071
20230630,1342,5970,5970,5970,5970,1312,249248,176071
20230630,1341,5950,5950,5950,5950,2871,248989,175018
20230630,1340,5950,5950,5940,5950,278,248989,172147
20230630,1339,5940,5950,5940,5950,5665,248989,171869
20230630,1338,5950,5950,5950,5950,3605,243326,171867
20230630,1337,5970,5970,5950,5950,3891,243326,168262
20230630,1336,5960,5960,5950,5950,1075,239628,168069
20230630,1335,5970,5970,5970,5970,52,238553,168069
20230630,1334,5960,5970,5960,5970,232,238501,168069
20230630,1333,5970,5970,5970,5970,1,238309,168029
20230630,1332,5960,5960,5940,5960,10020,238309,168028
