,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA,035720.KS,BTC-USD,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,,7200.17431640625,,,,7200.17431640625,,,,7254.33056640625,,,,7174.9443359375,,,,7194.89208984375,,,,18565664997,,
2020-01-02,30663.927734375,6985.47021484375,155.42202758789062,28.68400001525879,30724.287109375,6985.47021484375,160.6199951171875,28.68400001525879,31127.228515625,7212.1552734375,160.72999572753906,28.713333129882812,30623.552734375,6935.27001953125,158.3300018310547,28.11400032043457,31026.494140625,7202.55126953125,158.77999877929688,28.299999237060547,1196436.0,20802083465,22622100.0,142981500.0
2020-01-03,30663.927734375,7344.88427734375,153.48675537109375,29.534000396728516,30724.287109375,7344.88427734375,158.6199951171875,29.534000396728516,31227.96484375,7413.71533203125,159.9499969482422,30.266666412353516,30422.08203125,6914.99609375,158.05999755859375,29.128000259399414,30925.7578125,6984.4287109375,158.32000732421875,29.366666793823242,1562748.0,28111481032,21116200.0,266677500.0
2020-01-04,,7410.65673828125,,,,7410.65673828125,,,,7427.3857421875,,,,7309.51416015625,,,,7345.37548828125,,,,18444271275,,
2020-01-05,,7411.3173828125,,,,7411.3173828125,,,,7544.4970703125,,,,7400.53564453125,,,,7410.45166015625,,,,19725074095,,
2020-01-06,31066.078125,7769.21923828125,153.8834991455078,30.1026668548584,31127.228515625,7769.21923828125,159.02999877929688,30.1026668548584,31227.96484375,7781.8671875,159.10000610351562,30.104000091552734,30220.611328125,7409.29296875,156.50999450683594,29.333332061767578,30321.345703125,7410.4521484375,157.0800018310547,29.364667892456055,1954204.0,23276261598,20813700.0,151995000.0
2020-01-07,32171.990234375,8163.6923828125,152.4804229736328,31.270666122436523,32235.318359375,8163.6923828125,157.5800018310547,31.270666122436523,32235.318359375,8178.2158203125,159.6699981689453,31.441999435424805,31127.228515625,7768.2275390625,157.32000732421875,30.224000930786133,31227.96484375,7768.68212890625,159.32000732421875,30.760000228881836,4170263.0,28767291327,21634100.0,268231500.0
2020-01-08,32071.453125,8079.86279296875,154.9092254638672,32.80933380126953,32134.58203125,8079.86279296875,160.08999633789062,32.80933380126953,32638.259765625,8396.73828125,160.8000030517578,33.232666015625,31530.169921875,7956.7744140625,157.9499969482422,31.215333938598633,31933.111328125,8161.935546875,158.92999267578125,31.579999923706055,4227010.0,31672559265,27746500.0,467164500.0
2020-01-09,32976.2890625,7879.0712890625,156.844482421875,32.089332580566406,33041.19921875,7879.0712890625,162.08999633789062,32.089332580566406,33343.40625,8082.2958984375,162.22000122070312,33.253334045410156,32738.994140625,7842.40380859375,161.02999877929688,31.524667739868164,32940.46484375,8082.2958984375,161.83999633789062,33.13999938964844,4359536.0,24045990466,21385000.0,426606000.0
2020-01-10,33177.36328125,8166.55419921875,156.11874389648438,31.876667022705078,33242.671875,8166.55419921875,161.33999633789062,31.876667022705078,33544.87890625,8166.55419921875,163.22000122070312,32.3293342590332,32839.73046875,7726.77490234375,161.17999267578125,31.579999923706055,33242.671875,7878.3076171875,162.82000732421875,32.11933135986328,1994860.0,28714583844,20725900.0,194392500.0
2020-01-11,,8037.53759765625,,,,8037.53759765625,,,,8218.359375,,,,8029.64208984375,,,,8162.19091796875,,,,25521165085,,
2020-01-12,,8192.494140625,,,,8192.494140625,,,,8200.0634765625,,,,8009.05908203125,,,,8033.26171875,,,,22903438381,,
2020-01-13,33579.51171875,8144.1943359375,157.9959716796875,34.990665435791016,33645.61328125,8144.1943359375,163.27999877929688,34.990665435791016,33746.34765625,8197.7880859375,163.30999755859375,35.04199981689453,33242.671875,8079.70068359375,161.25999450683594,32.79999923706055,33343.40625,8189.77197265625,161.75999450683594,32.900001525878906,2360973.0,22482910688,21626500.0,397764000.0
2020-01-14,33579.51171875,8827.7646484375,156.88319396972656,35.861331939697266,33645.61328125,8827.7646484375,162.1300048828125,35.861331939697266,33947.8203125,8879.51171875,163.60000610351562,36.49399948120117,33343.40625,8140.93310546875,161.72000122070312,34.99333190917969,33746.34765625,8140.93310546875,163.38999938964844,36.284000396728516,2100980.0,44841784107,23477400.0,434943000.0
2020-01-15,34182.73828125,8807.0107421875,157.89920043945312,34.56666564941406,34250.0234375,8807.0107421875,163.17999267578125,34.56666564941406,34350.76171875,8890.1171875,163.94000244140625,35.85599899291992,33544.87890625,8657.1875,162.57000732421875,34.452667236328125,33645.61328125,8825.34375,162.6199951171875,35.31733322143555,2293727.0,40102834650,21417900.0,260532000.0
2020-01-16,34484.3515625,8723.7861328125,160.7924346923828,34.232666015625,34552.23046875,8723.7861328125,166.1699981689453,34.232666015625,34652.96484375,8846.4609375,166.24000549316406,34.297332763671875,34250.0234375,8612.095703125,164.02999877929688,32.81133270263672,34250.0234375,8812.4814453125,164.35000610351562,32.91666793823242,1290753.0,31313981931,23865400.0,326050500.0
2020-01-17,33881.12890625,8929.0380859375,161.69236755371094,34.03333282470703,33947.8203125,8929.0380859375,167.10000610351562,34.03333282470703,34753.703125,8958.1220703125,167.47000122070312,34.37799835205078,33847.08203125,8677.31640625,165.42999267578125,33.54399871826172,34552.23046875,8725.2099609375,167.4199981689453,33.840667724609375,1760672.0,36372139320,34371700.0,204436500.0
2020-01-18,,8942.80859375,,,,8942.80859375,,,,9012.1982421875,,,,8827.33203125,,,,8927.2119140625,,,,32337772627,,
2020-01-19,,8706.2451171875,,,,8706.2451171875,,,,9164.3623046875,,,,8620.080078125,,,,8941.4453125,,,,34217320471,,
2020-01-20,33881.12890625,8657.642578125,,,33947.8203125,8657.642578125,,,34250.0234375,8745.5908203125,,,33645.61328125,8560.4736328125,,,34048.5546875,8704.6318359375,,,1888661.0,26422375678,,
2020-01-21,33177.36328125,8745.89453125,161.1117401123047,36.47999954223633,33242.671875,8745.89453125,166.5,36.47999954223633,34048.5546875,8755.7060546875,168.19000244140625,36.571998596191406,32940.46484375,8544.5205078125,166.42999267578125,35.227333068847656,33947.8203125,8658.9912109375,166.67999267578125,35.349998474121094,1931570.0,24097418512,29517200.0,267052500.0
2020-01-22,33378.4375,8680.8759765625,160.33766174316406,37.97066879272461,33444.140625,8680.8759765625,165.6999969482422,37.97066879272461,34048.5546875,8792.994140625,167.49000549316406,39.633331298828125,33141.9375,8636.7470703125,165.67999267578125,37.27333450317383,33444.140625,8744.2109375,167.39999389648438,38.125999450683594,2503341.0,22600204051,24138800.0,470535000.0
2020-01-23,33277.90234375,8406.515625,161.3246307373047,38.14666748046875,33343.40625,8406.515625,166.72000122070312,38.14666748046875,33847.08203125,8687.7470703125,166.8000030517578,38.79999923706055,33141.9375,8333.6376953125,165.27000427246094,37.040000915527344,33847.08203125,8680.650390625,166.19000244140625,37.616668701171875,1605295.0,25770680779,19680800.0,294765000.0
2020-01-24,,8445.4345703125,159.69898986816406,37.654666900634766,,8445.4345703125,165.0399932861328,37.654666900634766,,8514.6669921875,167.52999877929688,38.25733184814453,,8266.8408203125,164.4499969482422,36.95066833496094,,8405.5673828125,167.50999450683594,38.04199981689453,,24397913026,24918100.0,215304000.0
2020-01-25,,8367.84765625,,,,8367.84765625,,,,8458.453125,,,,8296.21875,,,,8440.119140625,,,,19647331549,,
2020-01-26,,8596.830078125,,,,8596.830078125,,,,8602.4013671875,,,,8325.498046875,,,,8364.41015625,,,,22177678796,,
2020-01-27,,8909.8193359375,157.0283203125,37.201332092285156,,8909.8193359375,162.27999877929688,37.201332092285156,,8977.7265625,163.3800048828125,37.62933349609375,,8597.30859375,160.1999969482422,35.95199966430664,,8597.30859375,161.14999389648438,36.132667541503906,,28647338393,32078100.0,204121500.0
2020-01-28,32674.67578125,9358.58984375,160.10545349121094,37.793331146240234,32738.994140625,9358.58984375,165.4600067138672,37.793331146240234,32940.46484375,9358.58984375,165.75999450683594,38.45399856567383,32134.58203125,8908.447265625,163.07000732421875,37.2053337097168,32235.318359375,8912.5244140625,163.77999877929688,37.89933395385742,2547407.0,34398744403,24899900.0,176827500.0
2020-01-29,32875.75,9316.6298828125,162.60191345214844,38.732666015625,32940.46484375,9316.6298828125,168.0399932861328,38.732666015625,33444.140625,9406.431640625,168.75,39.31999969482422,32738.994140625,9269.4677734375,165.69000244140625,37.82866668701172,33343.40625,9357.470703125,167.83999633789062,38.37933349609375,1266521.0,30682598115,34754500.0,267022500.0
2020-01-30,32574.138671875,9508.9931640625,167.1885528564453,42.72066879272461,32638.259765625,9508.9931640625,172.77999877929688,42.72066879272461,33343.40625,9553.1259765625,174.0500030517578,43.391998291015625,32336.052734375,9230.8974609375,170.7899932861328,41.20000076293945,32839.73046875,9316.0166015625,174.0500030517578,42.16133117675781,2079249.0,32378792851,51597500.0,435085500.0
