,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS,012450.KS,064350.KS
Date,,,,,,,,,,,,
2019-02-11,30777.876953125,28800.0,32350.0,28800.0,32600.0,29750.0,31750.0,28650.0,31800.0,29750.0,190237,1152826
2019-02-12,30159.46484375,28500.0,31700.0,28500.0,32400.0,29250.0,31350.0,28150.0,32400.0,28700.0,212293,927003
2019-02-13,30920.587890625,28200.0,32500.0,28200.0,32550.0,28750.0,31850.0,28100.0,32050.0,28650.0,173792,834767
2019-02-14,30825.44921875,27850.0,32400.0,27850.0,32700.0,28300.0,32100.0,27350.0,32700.0,28100.0,171896,950687
2019-02-15,30777.876953125,28100.0,32350.0,28100.0,32900.0,28250.0,32050.0,27600.0,32300.0,27700.0,165919,725743
2019-02-18,31539.0,28300.0,33150.0,28300.0,33150.0,28500.0,32500.0,28050.0,32550.0,28450.0,196439,530152
2019-02-19,31301.1484375,28850.0,32900.0,28850.0,33350.0,29250.0,32850.0,28550.0,33250.0,28650.0,124460,1250779
2019-02-20,31063.296875,28600.0,32650.0,28600.0,33150.0,29550.0,32100.0,28550.0,32900.0,29500.0,163862,1040220
2019-02-21,31681.708984375,28050.0,33300.0,28050.0,34400.0,28900.0,32700.0,27650.0,33350.0,28700.0,527469,969730
2019-02-22,31729.28125,28450.0,33350.0,28450.0,33900.0,28750.0,33100.0,28050.0,33100.0,28050.0,250874,716084
2019-02-25,31634.138671875,27950.0,33250.0,27950.0,33800.0,28650.0,33200.0,27800.0,33350.0,28500.0,161650,1036448
2019-02-26,31586.568359375,29200.0,33200.0,29200.0,33650.0,29650.0,33050.0,28300.0,33150.0,28300.0,136629,2774389
2019-02-27,32014.701171875,29500.0,33650.0,29500.0,34000.0,29750.0,32950.0,29050.0,33350.0,29600.0,228436,1872443
2019-02-28,31348.716796875,25900.0,32950.0,25900.0,33850.0,29800.0,32700.0,23750.0,33850.0,29800.0,194292,4488599
2019-03-04,31729.28125,24050.0,33350.0,24050.0,34200.0,25200.0,33250.0,24000.0,33250.0,24300.0,218251,4811634
2019-03-05,32442.833984375,24150.0,34100.0,24150.0,34350.0,24350.0,33100.0,23500.0,33100.0,24000.0,314538,1877566
