date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230103,090100,73600,74400,73600,74400,6944,513,2,0,0.0,
20230103,090200,74300,74400,74100,74200,5121,0,2,0,0.0,
20230103,090300,74200,74200,73400,73400,4496,0,5,0,0.0,
20230103,090400,73600,73600,73000,73300,8829,0,5,0,0.0,
20230103,090500,73200,73300,73200,73200,2429,0,5,0,0.0,
20230103,090600,73200,73300,73000,73100,3293,0,5,0,0.0,
20230103,090700,73000,73100,72800,72800,6721,0,5,0,0.0,
20230103,090800,72700,72800,72600,72600,8370,0,5,0,0.0,
20230103,090900,72700,72700,72500,72600,8194,0,5,0,0.0,
20230103,091000,72500,72600,72500,72600,2691,0,5,0,0.0,
20230103,091100,72600,72600,72300,72300,5949,0,5,0,0.0,
20230103,091200,72400,72400,72300,72300,5149,0,5,0,0.0,
20230103,091300,72400,72500,72300,72400,4541,0,5,0,0.0,
20230103,091400,72400,72400,72100,72100,6163,0,5,0,0.0,
20230103,091500,72100,72200,71900,72000,8583,0,5,0,0.0,
20230103,091600,72000,72200,72000,72200,6083,0,5,0,0.0,
20230103,091700,72200,72200,71900,72000,4216,0,5,0,0.0,
20230103,091800,72100,72300,72000,72300,5646,0,5,0,0.0,
20230103,091900,72200,72300,72200,72300,4354,0,5,0,0.0,
20230103,092000,72300,72400,72200,72400,1181,0,5,0,0.0,
20230103,092100,72400,72400,72200,72300,1424,0,5,0,0.0,
20230103,092200,72300,72400,72200,72400,3118,0,5,0,0.0,
20230103,092300,72400,72400,72300,72300,1191,0,5,0,0.0,
20230103,092400,72300,72300,72100,72200,5307,0,5,0,0.0,
20230103,092500,72300,72300,72100,72200,1477,0,5,0,0.0,
20230103,092600,72100,72200,71900,71900,6030,0,5,0,0.0,
20230103,092700,71900,72100,71900,72000,5826,0,5,0,0.0,
20230103,092800,71900,72000,71700,71900,6654,0,5,0,0.0,
20230103,092900,71900,71900,71600,71700,3785,0,5,0,0.0,
20230103,093000,71700,71700,71500,71600,5293,0,5,0,0.0,
20230103,093100,71700,71800,71600,71800,4772,0,5,0,0.0,
20230103,093200,71800,71900,71700,71700,3506,0,5,0,0.0,
20230103,093300,71800,71800,71700,71800,1025,0,5,0,0.0,
20230103,093400,71700,71800,71700,71800,1123,0,5,0,0.0,
20230103,093500,71700,71800,71700,71800,1022,0,5,0,0.0,
