date,time,open,high,low,close,qty,value,sign,jongchk,rate,
20230104,090100,71600,71800,71100,71200,15716,1123,5,0,0.0,
20230104,090200,71400,71500,71100,71200,3931,0,5,0,0.0,
20230104,090300,71200,71300,70700,70700,6157,0,5,0,0.0,
20230104,090400,70800,71300,70700,71000,3641,0,5,0,0.0,
20230104,090500,71000,71400,71000,71300,4176,0,5,0,0.0,
20230104,090600,71300,71300,70900,70900,3206,0,5,0,0.0,
20230104,090700,71000,71000,70500,70500,7553,0,5,0,0.0,
20230104,090800,70400,70500,70200,70300,6029,0,5,0,0.0,
20230104,090900,70300,70300,70100,70200,4963,0,5,0,0.0,
20230104,091000,70200,70200,69900,69900,12632,0,5,0,0.0,
20230104,091100,69900,70200,69600,70200,10477,0,5,0,0.0,
20230104,091200,70200,70200,69900,70000,3993,0,5,0,0.0,
20230104,091300,70000,70200,69800,69900,7478,0,5,0,0.0,
20230104,091400,69900,70000,69800,69900,2668,0,5,0,0.0,
20230104,091500,69900,69900,69700,69900,6119,0,5,0,0.0,
20230104,091600,69900,69900,69700,69800,3396,0,5,0,0.0,
20230104,091700,69700,69800,69500,69600,5468,0,5,0,0.0,
20230104,091800,69700,69700,69600,69600,1650,0,5,0,0.0,
20230104,091900,69700,69700,69500,69600,6581,0,5,0,0.0,
20230104,092000,69600,69600,69200,69200,12042,0,5,0,0.0,
20230104,092100,69200,69300,69200,69300,3062,0,5,0,0.0,
20230104,092200,69300,69600,69200,69500,11717,0,5,0,0.0,
20230104,092300,69500,69800,69400,69700,4383,0,5,0,0.0,
20230104,092400,69800,70100,69800,70100,7046,0,5,0,0.0,
20230104,092500,70100,70400,70100,70300,5139,0,5,0,0.0,
20230104,092600,70300,70300,69900,70000,2284,0,5,0,0.0,
20230104,092700,70000,70300,69900,70200,2530,0,5,0,0.0,
20230104,092800,70100,70100,69800,69900,3033,0,5,0,0.0,
20230104,092900,69900,69900,69600,69800,2353,0,5,0,0.0,
20230104,093000,69700,70100,69700,70100,3492,0,5,0,0.0,
20230104,093100,70100,70200,70000,70200,3046,0,5,0,0.0,
20230104,093200,70100,70400,70100,70400,3457,0,5,0,0.0,
20230104,093300,70300,70400,70200,70300,2770,0,5,0,0.0,
20230104,093400,70300,70400,70200,70400,1568,0,5,0,0.0,
20230104,093500,70400,70400,70300,70300,1282,0,5,0,0.0,
20230104,093600,70400,70400,70300,70400,327,0,5,0,0.0,
20230104,093700,70400,70500,70300,70400,1843,0,5,0,0.0,
20230104,093800,70500,70500,70400,70400,2914,0,5,0,0.0,
20230104,093900,70400,70500,70300,70500,829,0,5,0,0.0,
20230104,094000,70400,70500,70300,70400,2750,0,5,0,0.0,
20230104,094100,70400,70400,70300,70400,1654,0,5,0,0.0,
20230104,094200,70400,70400,70300,70400,2480,0,5,0,0.0,
20230104,094300,70300,70400,70200,70200,954,0,5,0,0.0,
20230104,094400,70200,70300,70100,70100,2303,0,5,0,0.0,
20230104,094500,70200,70200,70000,70100,1742,0,5,0,0.0,
20230104,094600,70100,70200,70000,70000,1034,0,5,0,0.0,
20230104,094700,70000,70100,70000,70000,1408,0,5,0,0.0,
20230104,094800,70000,70400,70000,70400,3652,0,5,0,0.0,
20230104,094900,70400,70400,70300,70400,227,0,5,0,0.0,
20230104,095000,70400,70500,70300,70400,1735,0,5,0,0.0,
20230104,095100,70300,70400,70200,70300,323,0,5,0,0.0,
20230104,095200,70300,70300,70200,70300,267,0,5,0,0.0,
20230104,095300,70300,70400,70200,70300,1309,0,5,0,0.0,
20230104,095400,70200,70400,70200,70400,867,0,5,0,0.0,
20230104,095500,70300,70400,70300,70300,2230,0,5,0,0.0,
20230104,095600,70300,70400,70300,70300,629,0,5,0,0.0,
20230104,095700,70400,70400,70400,70400,42,0,5,0,0.0,
20230104,095800,70400,70500,70400,70500,1285,0,5,0,0.0,
20230104,095900,70400,70600,70400,70500,2743,0,5,0,0.0,
20230104,100000,70500,70600,70500,70500,1941,0,5,0,0.0,
20230104,100100,70500,70600,70500,70600,483,0,5,0,0.0,
20230104,100200,70600,70600,70400,70500,1615,0,5,0,0.0,
20230104,100300,70500,70500,70400,70400,445,0,5,0,0.0,
20230104,100400,70400,70700,70300,70700,3206,0,5,0,0.0,
20230104,100500,70600,70700,70600,70600,1645,0,5,0,0.0,
20230104,100600,70600,70600,70500,70600,708,0,5,0,0.0,
20230104,100700,70600,70700,70600,70700,816,0,5,0,0.0,
20230104,100800,70700,70700,70600,70600,194,0,5,0,0.0,
20230104,100900,70700,70700,70600,70600,639,0,5,0,0.0,
20230104,101000,70700,70700,70500,70500,1242,0,5,0,0.0,
20230104,101100,70500,70600,70500,70600,411,0,5,0,0.0,
20230104,101200,70600,70600,70500,70500,620,0,5,0,0.0,
20230104,101300,70500,70600,70500,70600,1005,0,5,0,0.0,
20230104,101400,70600,70600,70500,70500,750,0,5,0,0.0,
20230104,101500,70600,70600,70500,70600,49,0,5,0,0.0,
20230104,101600,70500,70600,70500,70500,1429,0,5,0,0.0,
20230104,101700,70500,70500,70400,70500,289,0,5,0,0.0,
20230104,101800,70500,70500,70300,70400,2537,0,5,0,0.0,
20230104,101900,70400,70400,70300,70400,759,0,5,0,0.0,
20230104,102000,70400,70400,70300,70400,159,0,5,0,0.0,
20230104,102100,70400,70400,70300,70400,81,0,5,0,0.0,
20230104,102200,70400,70500,70300,70500,1613,0,5,0,0.0,
20230104,102300,70400,70500,70400,70500,308,0,5,0,0.0,
20230104,102400,70500,70600,70400,70600,2961,0,5,0,0.0,
20230104,102500,70500,70600,70500,70600,530,0,5,0,0.0,
20230104,102600,70600,70600,70500,70500,862,0,5,0,0.0,
20230104,102700,70500,70600,70500,70600,206,0,5,0,0.0,
20230104,102800,70600,70600,70500,70500,934,0,5,0,0.0,
20230104,102900,70500,70500,70400,70500,147,0,5,0,0.0,
20230104,103000,70500,70500,70400,70500,416,0,5,0,0.0,
20230104,103100,70500,70600,70400,70400,4756,0,5,0,0.0,
20230104,103200,70400,70500,70400,70500,198,0,5,0,0.0,
20230104,103300,70500,70500,70400,70400,350,0,5,0,0.0,
20230104,103400,70400,70400,70300,70400,460,0,5,0,0.0,
20230104,103500,70400,70400,70300,70400,713,0,5,0,0.0,
20230104,103600,70400,70400,70300,70400,249,0,5,0,0.0,
20230104,103700,70300,70400,70300,70400,376,0,5,0,0.0,
20230104,103800,70400,70400,70300,70400,541,0,5,0,0.0,
20230104,103900,70400,70400,70300,70400,335,0,5,0,0.0,
20230104,104000,70400,70400,70300,70300,233,0,5,0,0.0,
20230104,104100,70400,70400,70300,70300,360,0,5,0,0.0,
20230104,104200,70400,70400,70300,70400,602,0,5,0,0.0,
20230104,104300,70400,70400,70300,70400,1693,0,5,0,0.0,
20230104,104400,70400,70500,70400,70400,1116,0,5,0,0.0,
20230104,104500,70500,70600,70500,70600,2051,0,5,0,0.0,
20230104,104600,70600,70600,70500,70600,660,0,5,0,0.0,
20230104,104700,70500,70600,70500,70600,93,0,5,0,0.0,
20230104,104800,70600,70600,70500,70600,61,0,5,0,0.0,
20230104,104900,70600,70600,70500,70600,214,0,5,0,0.0,
20230104,105000,70600,70600,70600,70600,203,0,5,0,0.0,
20230104,105100,70600,70600,70500,70500,414,0,5,0,0.0,
20230104,105200,70500,70600,70500,70600,1052,0,5,0,0.0,
20230104,105300,70600,70700,70500,70700,3301,0,5,0,0.0,
20230104,105400,70700,70700,70600,70700,305,0,5,0,0.0,
20230104,105500,70700,70700,70600,70700,589,0,5,0,0.0,
20230104,105600,70700,70700,70600,70700,122,0,5,0,0.0,
20230104,105700,70700,70700,70600,70700,379,0,5,0,0.0,
20230104,105800,70600,70700,70600,70700,170,0,5,0,0.0,
20230104,105900,70700,70700,70500,70600,1724,0,5,0,0.0,
20230104,110000,70500,70600,70500,70600,231,0,5,0,0.0,
20230104,110100,70600,70600,70500,70600,289,0,5,0,0.0,
20230104,110200,70600,70600,70400,70400,2339,0,5,0,0.0,
20230104,110300,70500,70500,70400,70500,785,0,5,0,0.0,
20230104,110400,70500,70500,70300,70400,988,0,5,0,0.0,
20230104,110500,70400,70400,70300,70400,649,0,5,0,0.0,
20230104,110600,70400,70400,70300,70400,374,0,5,0,0.0,
