Date,Open,High,Low,Close,Adj Close,Volume,Price
2021-06-28,3305.459961,3311.689941,3291.300049,3301.889893,3301.889893,1427400,0
2021-06-29,3305.26001,3305.419922,3276.629883,3286.679932,3286.679932,1211800,1
2021-06-30,3288.629883,3305.72998,3288.629883,3296.679932,3296.679932,1608900,0
2021-07-01,3297.919922,3300.120117,3278.100098,3282.060059,3282.060059,1157700,0
2021-07-02,3282.810059,3295.679932,3278.189941,3281.780029,3281.780029,1019400,1
2021-07-05,3285.290039,3298.929932,3285.290039,3293.209961,3293.209961,849700,1
2021-07-06,3295.439941,3313.51001,3295.439941,3305.209961,3305.209961,1028800,0
2021-07-07,3303.590088,3303.590088,3277.659912,3285.340088,3285.340088,1146800,0
2021-07-08,3287.679932,3295.709961,3252.409912,3252.679932,3252.679932,1515200,0
2021-07-09,3245.52002,3245.52002,3188.800049,3217.949951,3217.949951,1307500,1
2021-07-12,3227.51001,3251.449951,3227.51001,3246.469971,3246.469971,1134600,1
2021-07-13,3253.23999,3273.899902,3253.23999,3271.379883,3271.379883,1149500,0
2021-07-14,3270.090088,3270.090088,3250.449951,3264.810059,3264.810059,908300,1
2021-07-15,3269.330078,3286.580078,3263.090088,3286.219971,3286.219971,1171900,0
2021-07-16,3282.889893,3282.889893,3259.320068,3276.909912,3276.909912,1066100,0
2021-07-19,3258.870117,3258.870117,3236.389893,3244.040039,3244.040039,1095100,0
2021-07-20,3223.23999,3234.800049,3214.419922,3232.699951,3232.699951,979300,0
2021-07-21,3251.129883,3252.25,3215.909912,3215.909912,3215.909912,990300,1
2021-07-22,3235.169922,3253.75,3235.169922,3250.209961,3250.209961,713000,1
2021-07-23,3253.439941,3264.01001,3246.090088,3254.419922,3254.419922,804600,0
2021-07-26,3265.98999,3265.98999,3224.949951,3224.949951,3224.949951,826100,1
2021-07-27,3244.429932,3252.850098,3230.75,3232.530029,3232.530029,991600,1
2021-07-28,3226.060059,3243.209961,3210.899902,3236.860107,3236.860107,868200,1
2021-07-29,3248.48999,3252.26001,3232.5,3242.649902,3242.649902,694500,0
2021-07-30,3234.370117,3234.659912,3202.320068,3202.320068,3202.320068,687500,1
2021-08-02,3218.419922,3223.040039,3194.0,3223.040039,3223.040039,560800,1
2021-08-03,3221.570068,3237.139893,3213.199951,3237.139893,3237.139893,653200,1
2021-08-04,3246.649902,3283.139893,3237.550049,3280.379883,3280.379883,632000,0
2021-08-05,3283.25,3296.169922,3273.330078,3276.129883,3276.129883,680000,0
2021-08-06,3277.060059,3288.169922,3261.929932,3270.360107,3270.360107,939900,0
2021-08-09,3258.100098,3275.149902,3251.73999,3260.419922,3260.419922,706500,0
2021-08-10,3272.439941,3272.439941,3232.459961,3243.189941,3243.189941,729000,0
2021-08-11,3235.360107,3250.209961,3217.649902,3220.620117,3220.620117,616700,0
2021-08-12,3213.580078,3229.590088,3202.110107,3208.379883,3208.379883,642600,0
2021-08-13,3205.75,3209.719971,3146.76001,3171.290039,3171.290039,695600,0
2021-08-17,3169.73999,3179.48999,3134.47998,3143.090088,3143.090088,690800,1
2021-08-18,3141.97998,3175.879883,3124.560059,3158.929932,3158.929932,622800,0
2021-08-19,3140.01001,3158.0,3097.830078,3097.830078,3097.830078,655600,0
2021-08-20,3111.100098,3122.090088,3049.030029,3060.51001,3060.51001,672100,1
2021-08-23,3086.810059,3111.810059,3064.649902,3090.209961,3090.209961,570400,1
2021-08-24,3119.699951,3142.580078,3115.22998,3138.300049,3138.300049,586500,1
2021-08-25,3148.129883,3161.0,3124.25,3146.810059,3146.810059,600400,0
2021-08-26,3151.300049,3159.370117,3121.040039,3128.530029,3128.530029,727700,1
2021-08-27,3116.290039,3143.01001,3106.969971,3133.899902,3133.899902,520700,1
2021-08-30,3160.870117,3164.870117,3132.77002,3144.189941,3144.189941,602900,1
2021-08-31,3144.48999,3199.889893,3130.300049,3199.27002,3199.27002,660500,1
2021-09-01,3195.669922,3215.129883,3185.800049,3207.02002,3207.02002,746700,0
2021-09-02,3198.030029,3204.01001,3171.780029,3175.850098,3175.850098,753900,1
2021-09-03,3189.709961,3203.080078,3181.639893,3201.060059,3201.060059,638300,1
2021-09-06,3196.300049,3206.25,3186.790039,3203.330078,3203.330078,726200,0
2021-09-07,3200.070068,3201.76001,3176.810059,3187.419922,3187.419922,758700,0
2021-09-08,3178.73999,3187.550049,3157.070068,3162.98999,3162.98999,858500,0
2021-09-09,3146.639893,3158.600098,3111.48999,3114.699951,3114.699951,927400,1
2021-09-10,3121.090088,3131.540039,3103.379883,3125.76001,3125.76001,723100,1
2021-09-13,3117.350098,3139.129883,3109.01001,3127.860107,3127.860107,731200,1
2021-09-14,3137.320068,3164.310059,3137.320068,3148.830078,3148.830078,712400,1
2021-09-15,3147.209961,3164.01001,3138.800049,3153.399902,3153.399902,615200,0
2021-09-16,3165.379883,3167.679932,3126.649902,3130.090088,3130.090088,612000,1
2021-09-17,3127.75,3142.129883,3112.51001,3140.51001,3140.51001,587500,0
2021-09-23,3123.639893,3131.629883,3107.97998,3127.580078,3127.580078,623000,0
2021-09-24,3140.72998,3146.860107,3119.399902,3125.23999,3125.23999,752800,1
2021-09-27,3121.699951,3146.350098,3119.26001,3133.639893,3133.639893,882600,0
2021-09-28,3133.399902,3134.459961,3095.719971,3097.919922,3097.919922,894100,0
